control_id,title,family,baseline,status,responsible_party,implementing_artifact,remediating_phase,poam_id,notes
CM-2(2),Baseline Configuration | Automation Support for Accuracy and Currency,CM,Moderate,Planned,System,charts/kube-policies/,P5,,Helm-rendered baseline + CI drift checks in P5.
CM-2(3),Baseline Configuration | Retention of Previous Configurations,CM,Moderate,Planned,System,git history,P5,,Config retained in VCS; formalized in P5.
CM-3,Configuration Change Control,CM,Moderate,Planned,System,see P11,P11,,Change-control via PR review + CI gates in P11.
CM-3(2),"Configuration Change Control | Testing, Validation, and Documentation of Changes",CM,Moderate,Planned,System,see P11,P11,,Change testing via CI quality gates in P11.
CM-4,Impact Analyses,CM,Moderate,Planned,System,see P11,P11,,Security-impact analysis in PR process (P11).
CM-5,Access Restrictions for Change,CM,Moderate,Planned,System,see P1,P1,,Branch protection + CODEOWNERS + signed commits in P1.
CM-6,Configuration Settings,CM,Moderate,Partial,System,internal/config/config.go,P5,,Config validation enforces TLS1.3/failure-mode; full CIS-restricted settings in P5.
CM-6(1),"Configuration Settings | Automated Management, Application, and Verification",CM,Moderate,Planned,System,charts/kube-policies/,P5,,CI renders + verifies settings (helm template gate) in P5.
CM-7,Least Functionality,CM,Moderate,Partial,System,charts/kube-policies/values.yaml,P5,,"Distroless images, dropped caps; restricted PSS + disabled services in P5."
CM-7(1),Least Functionality | Periodic Review,CM,Moderate,Planned,System,see P5,P5,,Periodic review of enabled functions in P5/P11.
CM-7(2),Least Functionality | Prevent Program Execution,CM,Moderate,Planned,System,internal/policy/engine.go,P10,,Image/exec policy enforcement extended in P10.
CM-7(5),Least Functionality | Authorized Software - Allow-by-Exception,CM,Moderate,Planned,System,see P6,P6,,Image-signature/allowlist admission in P6/P10.
CM-8,System Component Inventory,CM,Moderate,Partial,System,docs/compliance/inventory.csv,P0,,Inventory established (AST-* assets); kept current per release in P5/P6.
CM-8(1),System Component Inventory | Updates During Installation and Removal,CM,Moderate,Planned,System,docs/compliance/inventory.csv,P6,,Inventory auto-updated from SBOM in P6.
CM-8(3),System Component Inventory | Automated Unauthorized Component Detection,CM,Moderate,Planned,System,see P6,P6,,SBOM/scan-driven detection in P6.
CM-9,Configuration Management Plan,CM,Moderate,Planned,CSP,see P12,P12,,CM plan authored in P12.
CM-10,Software Usage Restrictions,CM,Moderate,Planned,CSP,see P12,P12,,Software-usage policy in P12.
CM-11,User-Installed Software,CM,Moderate,Planned,System,charts/kube-policies/values.yaml,P5,,Immutable distroless images + readOnlyRootFilesystem restrict installs; formalized P5.
CM-12,Information Location,CM,Moderate,Planned,System,docs/compliance/system-facts.md,P0,,"Information types IT-1..3 located in CRDs/audit; documented in facts sheet, finalized P12."
CM-14,Signed Components,CM,Moderate,Planned,System,see P6,P6,POAM-006,Cosign signing + signature-verifying admission in P6.
CP-1,Policy and Procedures,CP,Moderate,Planned,CSP,see P12,P12,POAM-010,CP -1 policy authored in P12.
CP-2,Contingency Plan,CP,Moderate,Planned,Shared,see P8,P8,,Contingency plan authored in P8/P12.
CP-2(1),Contingency Plan | Coordinate with Related Plans,CP,Moderate,Planned,CSP,see P12,P12,,Coordinate with IR/CSP DR plans in P12.
CP-2(3),Contingency Plan | Resume Mission and Business Functions,CP,Moderate,Planned,Shared,see P8,P8,,Resumption objectives defined in P8.
CP-2(8),Contingency Plan | Identify Critical Assets,CP,Moderate,Partial,System,docs/compliance/inventory.csv,P8,,Critical assets (AST-WH gatekeeper) identified in inventory; RTO/RPO in P8.
CP-3,Contingency Training,CP,Moderate,Planned,CSP,see P12,P12,,Contingency training in P12.
CP-4,Contingency Plan Testing,CP,Moderate,Planned,Shared,see P8,P8,,DR/restore testing in P8.
CP-4(1),Contingency Plan Testing | Coordinate with Related Plans,CP,Moderate,Planned,CSP,see P12,P12,,Coordinated test with CSP plans in P12.
CP-6,Alternate Storage Site,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Alternate storage inherited from hosting CSP; backup targets defined in P8.
CP-6(1),Alternate Storage Site | Separation from Primary Site,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Geographic separation inherited from CSP.
CP-6(3),Alternate Storage Site | Accessibility,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Accessibility inherited from CSP.
CP-7,Alternate Processing Site,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Alternate processing inherited from CSP region/cluster topology.
CP-7(1),Alternate Processing Site | Separation from Primary Site,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Separation inherited from CSP.
CP-7(2),Alternate Processing Site | Accessibility,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Accessibility inherited from CSP.
CP-7(3),Alternate Processing Site | Priority of Service,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Priority-of-service inherited from CSP.
CP-8,Telecommunications Services,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Telecom services inherited from hosting CSP.
CP-8(1),Telecommunications Services | Priority of Service Provisions,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Inherited from CSP.
CP-8(2),Telecommunications Services | Single Points of Failure,CP,Moderate,Inherited,Customer,Inherited from CSP infrastructure,P8,,Inherited from CSP.
CP-9,System Backup,CP,Moderate,Planned,Shared,charts/kube-policies/templates/policy-manager-pvc.yaml,P8,POAM-007,CRDs in etcd (CSP-backed); app-state/audit backup procedure defined in P8.
CP-9(1),System Backup | Testing for Reliability and Integrity,CP,Moderate,Planned,Shared,see P8,P8,POAM-007,Backup-restore reliability testing in P8.
CP-10,System Recovery and Reconstitution,CP,Moderate,Partial,System,cmd/admission-webhook/main.go (leader election),P8,,Leader election + replicas aid recovery; full reconstitution/RTO-RPO in P8.
CP-10(2),System Recovery and Reconstitution | Transaction Recovery,CP,Moderate,Planned,System,see P8,P8,,Decision/transaction recovery semantics defined in P8.
IA-1,Policy and Procedures,IA,Moderate,Planned,CSP,see P12,P12,POAM-010,IA -1 policy authored in P12.
IA-2,Identification and Authentication (Organizational Users),IA,Moderate,Planned,System,see P3,P3,POAM-001,No user authn on planes today; OIDC bearer auth on every /api/v1 route in P3.
IA-2(1),IA (Organizational Users) | MFA to Privileged Accounts,IA,Moderate,Planned,Shared,see P3,P3,,MFA enforced by federated IdP; integrated in P3.
IA-2(2),IA (Organizational Users) | MFA to Non-Privileged Accounts,IA,Moderate,Planned,Shared,see P3,P3,,MFA via federated IdP; integrated in P3.
IA-2(8),IA (Organizational Users) | Access to Accounts - Replay Resistant,IA,Moderate,Planned,System,see P3,P3,,Replay-resistant OIDC tokens (nonce/aud) verified in P3.
IA-2(12),IA (Organizational Users) | Acceptance of PIV Credentials,IA,Moderate,Planned,Shared,see P3,P3,,PIV acceptance via IdP federation; verified in P3.
IA-3,Device Identification and Authentication,IA,Moderate,Planned,System,charts/kube-policies/templates/admission-webhook-tls.yaml,P3,POAM-003,mTLS to apiserver + audience-bound service tokens (ICX-01/02) in P3.
IA-4,Identifier Management,IA,Moderate,Planned,Shared,see P3,P3,,Identifier mgmt via IdP; service identities in P3.
IA-5,Authenticator Management,IA,Moderate,Planned,System,see P2,P2,POAM-003,Static bearer token today; cert/secret lifecycle + rotation in P2.
IA-5(1),Authenticator Management | Password-Based Authentication,IA,Moderate,Inherited,Customer,Inherited from IdP,P3,,Password policy inherited from federated IdP.
IA-5(2),Authenticator Management | Public Key-Based Authentication,IA,Moderate,Planned,System,see P2,P2,,PKI cert lifecycle (webhook/mTLS certs) in P2.
IA-6,Authentication Feedback,IA,Moderate,Inherited,Customer,Inherited from IdP,P3,,Authn feedback obscuring inherited from IdP login UI.
IA-7,Cryptographic Module Authentication,IA,Moderate,Planned,System,see P2,P2,POAM-005,FIPS-140-3 validated module (GOFIPS140) established in P2.
IA-8,Identification and Authentication (Non-Organizational Users),IA,Moderate,Planned,System,see P3,P3,,Non-org user authn scoping in P3 (likely N/A post-scoping).
IA-8(1),IA (Non-Org Users) | Acceptance of PIV Credentials from Other Agencies,IA,Moderate,Planned,Shared,see P3,P3,,PIV-I acceptance via IdP federation (P3).
IA-8(2),IA (Non-Org Users) | Acceptance of External Authenticators,IA,Moderate,Planned,Shared,see P3,P3,,External authenticator acceptance via IdP (P3).
IA-8(4),IA (Non-Org Users) | Use of Defined Profiles,IA,Moderate,Planned,Shared,see P3,P3,,Identity-profile conformance via IdP (P3).
IA-11,Re-Authentication,IA,Moderate,Planned,System,see P3,P3,,Re-authentication on privileged actions/session expiry in P3.
IA-12,Identity Proofing,IA,Moderate,Inherited,Customer,Inherited from IdP/CSP,P3,,Identity proofing inherited from federated IdP.
IA-12(2),Identity Proofing | Identity Evidence,IA,Moderate,Inherited,Customer,Inherited from IdP/CSP,P3,,Identity evidence handling inherited from IdP.
IA-12(3),Identity Proofing | Identity Evidence Validation and Verification,IA,Moderate,Inherited,Customer,Inherited from IdP/CSP,P3,,Evidence validation inherited from IdP.
IA-12(5),Identity Proofing | Address Confirmation,IA,Moderate,Inherited,Customer,Inherited from IdP/CSP,P3,,Address confirmation inherited from IdP.
IR-1,Policy and Procedures,IR,Moderate,Planned,CSP,see P12,P12,POAM-010,IR -1 policy authored in P12.
IR-2,Incident Response Training,IR,Moderate,Planned,CSP,see P12,P12,,IR training program in P12.
IR-3,Incident Response Testing,IR,Moderate,Planned,CSP,see P9,P9,,Tabletop/IR testing scheduled in P9/P12.
IR-3(2),Incident Response Testing | Coordination with Related Plans,IR,Moderate,Planned,CSP,see P12,P12,,Coordinated with CP/CSP plans in P12.
IR-4,Incident Handling,IR,Moderate,Planned,Shared,see P9,P9,,Incident-handling workflow from alerting in P9.
IR-4(1),Incident Handling | Automated Incident Handling Processes,IR,Moderate,Planned,Shared,see P9,P9,,Automated alert-to-incident pipeline in P9.
IR-5,Incident Monitoring,IR,Moderate,Planned,Shared,see P9,P9,,Incident monitoring via metrics/alerts in P9.
IR-6,Incident Reporting,IR,Moderate,Planned,CSP,see P9,P9,,US-CERT/CSP reporting workflow in P9/P12.
IR-6(1),Incident Reporting | Automated Reporting,IR,Moderate,Planned,Shared,see P9,P9,,Automated reporting integration in P9.
IR-7,Incident Response Assistance,IR,Moderate,Planned,CSP,see P12,P12,,IR assistance/contacts defined in P12.
IR-7(1),Incident Response Assistance | Automation Support for Availability of Information,IR,Moderate,Planned,Shared,see P9,P9,,Automation support via SIEM/runbooks in P9.
IR-8,Incident Response Plan,IR,Moderate,Planned,CSP,see P12,P12,POAM-010,IR plan authored in P12.
MA-1,Policy and Procedures,MA,Moderate,Planned,CSP,see P12,P12,POAM-010,MA -1 policy authored in P12.
MA-2,Controlled Maintenance,MA,Moderate,Planned,Shared,see P12,P12,,Maintenance via GitOps/rolling upgrade; procedure in P12.
MA-3,Maintenance Tools,MA,Moderate,Inherited,Customer,Inherited from CSP,P12,,Physical maintenance tools inherited from CSP.
MA-3(1),Maintenance Tools | Inspect Tools,MA,Moderate,Inherited,Customer,Inherited from CSP,P12,,Tool inspection inherited from CSP.
MA-3(2),Maintenance Tools | Inspect Media,MA,Moderate,Inherited,Customer,Inherited from CSP,P12,,Media inspection inherited from CSP.
MA-3(3),Maintenance Tools | Prevent Unauthorized Removal,MA,Moderate,Inherited,Customer,Inherited from CSP,P12,,Inherited from CSP.
MA-4,Nonlocal Maintenance,MA,Moderate,Planned,Shared,see P3,P3,,Remote maintenance over authenticated/TLS planes (P3); procedure P12.
MA-5,Maintenance Personnel,MA,Moderate,Inherited,Customer,Inherited from CSP,P12,,Maintenance-personnel vetting inherited from CSP/operator.
MA-6,Timely Maintenance,MA,Moderate,Planned,Shared,see P12,P12,,Spares/support-availability via container orchestration; procedure P12.
MP-1,Policy and Procedures,MP,Moderate,Planned,CSP,see P12,P12,POAM-010,MP -1 policy authored in P12.
MP-2,Media Access,MP,Moderate,Inherited,Customer,Inherited from CSP,P12,,Physical media access inherited from CSP.
MP-3,Media Marking,MP,Moderate,Inherited,Customer,Inherited from CSP,P12,,Media marking inherited from CSP.
MP-4,Media Storage,MP,Moderate,Inherited,Customer,Inherited from CSP,P12,,Physical media storage inherited from CSP.
MP-5,Media Transport,MP,Moderate,Inherited,Customer,Inherited from CSP,P12,,Media transport inherited from CSP.
MP-6,Media Sanitization,MP,Moderate,Inherited,Customer,Inherited from CSP,P12,,Media sanitization inherited from CSP.
MP-7,Media Use,MP,Moderate,Planned,CSP,see P12,P12,,Removable-media use policy authored in P12.
PE-1,Policy and Procedures,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-2,Physical Access Authorizations,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-3,Physical Access Control,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-4,Access Control for Transmission,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-5,Access Control for Output Devices,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-6,Monitoring Physical Access,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-6(1),Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-8,Visitor Access Records,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-9,Power Equipment and Cabling,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-10,Emergency Shutoff,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-11,Emergency Power,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-12,Emergency Lighting,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-13,Fire Protection,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-13(1),Fire Protection | Detection Systems - Automatic Activation and Notification,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-13(2),Fire Protection | Suppression Systems - Automatic Activation and Notification,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-14,Environmental Controls,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-15,Water Damage Protection,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-16,Delivery and Removal,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PE-17,Alternate Work Site,PE,Moderate,Inherited,Customer,Inherited from CSP data center,P12,,Physical/environmental control fully inherited from hosting CSP; verified via CSP ATO/CRM in P12.
PL-1,Policy and Procedures,PL,Moderate,Planned,CSP,see P12,P12,POAM-010,PL -1 policy authored in P12.
PL-2,System Security and Privacy Plans,PL,Moderate,Partial,CSP,docs/compliance/ssp/SSP.md,P0,,SSP skeleton established in P0; narratives finalized in P12.
PL-4,Rules of Behavior,PL,Moderate,Planned,CSP,see P12,P12,,Rules of behavior authored in P12.
PL-4(1),Rules of Behavior | Social Media and External Site/Application Usage Restrictions,PL,Moderate,Planned,CSP,see P12,P12,,Authored in P12.
PL-8,Security and Privacy Architectures,PL,Moderate,Partial,System,docs/compliance/system-facts.md,P0,,Architecture/trust-zones (ZONE-EXT/ZONE-SYS) documented in facts + boundary; finalized in SSP P12.
PL-10,Baseline Selection,PL,Moderate,Implemented,CSP,docs/compliance/control-matrix.csv,P0,,FedRAMP Moderate baseline selected (this matrix); reconcile vs official OSCAL profile - POAM-009.
PL-11,Baseline Tailoring,PL,Moderate,Partial,CSP,docs/compliance/control-matrix.md,P0,POAM-009,"Tailoring (N/A, inherited) recorded here; reconcile vs official FedRAMP Rev5 Moderate OSCAL profile."
