poam_id,weakness,source,control_id,severity,remediation,milestones,scheduled_completion,status,risk_rating,owner
POAM-011,"Audit retention and storage capacity not enforced in code: config.Audit.Retention (default 90d) is never read by any Go code and FileBackend (logger.go:353) never rotates, size-caps, or expires logs; no audit storage capacity management (AU-4) and 90-day retention (AU-11) is documented but not implemented.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,AU-4,High,"P7 Audit Retention (AUD-WU): implement rotation, size-capping, and retention enforcement honoring the configured retention, with capacity alerting.",M1 Rotation + size-cap implemented; M2 retention enforced from config; M3 capacity alert wired.,2026-11-30,Open,Moderate,Engineering (TBD — assign)
POAM-012,"No centralized aggregation / SIEM forwarding and no audit reduction/reporting: only local file/stdout backends exist (no fluentbit/fluentd/vector/syslog/webhook sink), compliance handlers return 501, and there is no central review/correlation/analysis capability.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,AU-6,High,"P7/P9 Audit Forwarding (AUD-WU/IRM-WU): add a SIEM/log-forwarding pipeline (e.g., Fluent-bit/Vector/OTel) and on-demand audit reduction/reporting.",M1 Forwarding pipeline shipped; M2 tamper-evident shipping to SIEM; M3 audit reduction/report capability.,2026-11-30,Open,Moderate,Engineering (TBD — assign)
POAM-013,"AU-3 where/source attribution incomplete: the audit Event struct (internal/audit/logger.go:54-79) records no source IP, user-agent, request URI, or apiserver identity, and management-plane events (LogConfigChange/LogSystemEvent) have zero production callers, so config changes are not in the audit trail and actions are attributed to system:unauthenticated.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,AU-3,Moderate,"P7 Audit Content (AUD-WU): extend the audit record with source/identity attribution and wire management-plane (CRD CRUD, exception approvals, ALLOW_WRITES) events to real authenticated principals.",M1 Source/identity fields added; M2 management-plane events audited; M3 principal attribution tied to P3 authN.,2026-11-30,Open,Moderate,Engineering (TBD — assign)
POAM-014,"Untrustworthy CI from Go-version skew: ci.yml/release.yml pin Go 1.20/1.21 while go.mod requires 1.25.0, so the gating pipeline cannot build the real codebase and every green result is untrustworthy developer-testing evidence; CI also references missing files (.github/ct.yaml, mlc_config.json).",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SA-11,Critical,"P1 Build-Pipeline & Toolchain Integrity (SDL-WU/SUP-WU): align CI Go toolchain to the shipped Go version, remove broken steps, and make the gating pipeline build and test the real code.",M1 CI Go version aligned to go.mod; M2 broken CI steps fixed/removed; M3 green CI reproducibly builds shipped artifacts.,2026-07-15,Open,High,Engineering (TBD — assign)
POAM-015,"Supply-chain signing is theater: no OIDC identity (id-token: write) is granted, so keyless cosign signing and SBOM attestation cannot succeed; no SLSA provenance is generated, SBOMs are never attested to image digests, and GitHub Actions are pinned to mutable @master tags.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SR-4,High,"P6 Supply-Chain Integrity (SUP-WU): grant id-token: write for keyless cosign, generate+publish SLSA provenance, attest SBOMs to image digests, and pin all actions/base images by digest.","M1 OIDC id-token enabled, signing succeeds; M2 SLSA provenance generated/published; M3 SBOM attested to digests; M4 actions/base images digest-pinned.",2026-11-15,Open,High,Engineering (TBD — assign)
POAM-016,"No system backup for policy state: backup is ad-hoc manual kubectl export only (DEPLOYMENT.md:422-440); no scheduled/automated backup, no Velero/snapshot integration, no backup verification, and no etcd/CRD backup-restore procedure — loss of etcd means total loss of policy posture.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,CP-9,High,"P8 Contingency & Backup (RES-WU): implement scheduled, verified backup of Policy/PolicyException CRD state with off-cluster storage and a documented etcd/CRD restore procedure.",M1 Automated CRD/etcd backup; M2 off-cluster alternate storage; M3 backup-restore verification test (CP-9(1)).,2026-12-15,Open,Moderate,Engineering (TBD — assign)
POAM-017,"No DR/HA for the fail-closed gatekeeper: no PodDisruptionBudget for any component, empty chart affinity {} with no topologySpreadConstraints, single-replica leader-election-gated policy-manager, and no RTO/RPO/DR runbook; with failurePolicy=Fail any availability lapse becomes a cluster-wide admission outage.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,CP-10,High,"P8 Resilience (RES-WU): add PDBs, anti-affinity/topology spread, HA policy-manager, real startup/readiness probes, graceful drain, and a documented DR/RTO/RPO runbook.",M1 PDBs + anti-affinity in chart; M2 HA policy-manager; M3 startup/readiness probes corrected; M4 DR runbook with RTO/RPO + restart-recovery test.,2026-12-15,Open,Moderate,Engineering (TBD — assign)
POAM-018,"ATO roles unassigned: no personnel/role-responsibility matrix exists defining System Owner, ISSO, Authorizing Official, and Independent Assessor; all compliance artifacts currently carry TBD owner/approver, which blocks assessment.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,PS-2,High,"P0 Program Governance (DOC-WU): author a RACI/role-responsibility matrix and formally assign System Owner, ISSO, AO, and Independent Assessor before assessment.",M1 Role-responsibility matrix authored; M2 System Owner + ISSO assigned; M3 AO + Independent Assessor designated.,2026-06-30,Open,Moderate,System Owner (TBD — assign)
POAM-019,"Control matrix not reconciled to the official FedRAMP OSCAL profile: the local control-matrix.csv is hand-derived from the gap analysis and is not yet validated against the authoritative FedRAMP Moderate OSCAL baseline, risking missing/mis-baselined controls.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,CA-2,High,"P12 Assessment Readiness (P12-WU): reconcile the control matrix against the official FedRAMP Moderate OSCAL profile, resolving every baseline control to a matrix row.",M1 Import FedRAMP Moderate OSCAL profile; M2 diff vs control-matrix.csv; M3 close all unmapped/mis-baselined controls.,2026-12-31,Open,Moderate,ISSO (TBD — assign)
POAM-020,"Single shared static inter-service credential: POLICY_MANAGER_INTERNAL_TOKEN is the only inter-service authenticator, mounted as a plain Opaque Secret with no rotation and no per-caller identity, and bearer-token checks use non-constant-time comparison (decisions_handler.go:29, dashboard/decisions.go:110).",kube-policies FedRAMP/CIS gap analysis 2026-05-29,IA-5,High,"P3 Identity (IAM-WU): replace the shared static token with audience-bound projected ServiceAccount tokens (short TTL), add rotation, and use crypto/subtle constant-time comparison.",M1 Projected/audience-bound tokens; M2 rotation mechanism; M3 constant-time comparison; M4 per-caller identity.,2026-09-15,Open,Moderate,Engineering (TBD — assign)
POAM-021,"No encryption of secrets at rest: no EncryptionConfiguration provider (CIS 1.2.31-1.2.33) and no KMS provider; the internal token and TLS keys sit in plain base64 Kubernetes Secrets, and the declared encryption.at_rest config is inert.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SC-28,High,"P2 Crypto Foundation (CRY-WU): provide EncryptionConfiguration/KMS guidance and integrate an external secret manager (e.g., Vault/external-secrets/sealed-secrets) with envelope encryption.",M1 EncryptionConfiguration/KMS guidance shipped; M2 external secret manager integration; M3 inert at_rest config wired or removed.,2026-08-15,Open,Moderate,Engineering (TBD — assign)
POAM-022,"No PKI/key-management lifecycle: self-signed RSA-2048 365-day certs via sprig/openssl with no cert-manager Issuer/Certificate, no automated rotation, no expiry monitoring, no GetCertificate hot-reload, and no documented key-management plan/cryptographic inventory.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SC-12,Moderate,"P2 Crypto Foundation (CRY-WU): adopt cert-manager-driven PKI with automated rotation, cert hot-reload, expiry alerting, and a documented Key Management Plan / crypto inventory.",M1 cert-manager Issuer/Certificate; M2 cert hot-reload + expiry alert; M3 Key Management Plan + crypto inventory authored.,2026-08-15,Open,Moderate,Engineering (TBD — assign)
POAM-023,"No digest-pinned images and no configuration baseline: all Dockerfiles and values.yaml use floating tags with pullPolicy IfNotPresent (no @sha256 digests), breaking reproducibility/integrity, and there is no documented configuration baseline, image inventory, or CM plan.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,CM-2,High,"P5/P6 Config Management & Supply Chain (CFG-WU/SUP-WU): pin all base and workload images by digest, add a digest-based deployment option, and author the configuration baseline, image inventory, and CM plan.","M2 DONE (P5): digest deployment option supported — the kube-policies.image helper accepts a digest-pinned reference (repo:tag@sha256:...). M3 DONE (P5): secure-configuration baseline (secure-configuration-baseline.md), component/image inventory with digest support (inventory.md/.csv), and Configuration Management Plan (plans/configuration-management-plan.md) authored. M1 RESIDUAL (item stays OPEN): shipped values.yaml + Dockerfiles still use floating tags with pullPolicy IfNotPresent; base+workload images are NOT digest-pinned by default (operator must pin) — digest-by-default lands in P6/SUP-WU.",2026-11-01,Open (residual: images not digest-pinned by default; M2/M3 done),Moderate,Engineering (TBD — assign)
POAM-024,"Shipped Helm chart less hardened than the base manifest: no seccompProfile (RuntimeDefault) on any container/pod, runAsGroup unset (GID 0 possible), automountServiceAccountToken never disabled, and the install namespace is not labeled pod-security.kubernetes.io/enforce=restricted, failing CIS restricted PSS and least functionality.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,CM-7,High,"P5 Workload Hardening (CFG-WU): add seccompProfile=RuntimeDefault, runAsGroup>0, automountServiceAccountToken=false, and PSS restricted namespace enforcement to the chart.","M1 DONE (P5, closed 2026-06-01): seccompProfile=RuntimeDefault + non-root runAsGroup are now values.yaml DEFAULTS on all three workloads (admission-webhook + policy-manager runAsGroup 65534, dashboard 65532); the dashboard securityContext renders from values.yaml via toYaml (now operator-overridable, not a fixed template block). Verified: helm template --set dashboard.enabled=true | grep -c seccompProfile = 6 and grep -c runAsGroup = 6. M2 DONE (P5): automountServiceAccountToken=false on every component SA with explicit pod-level opt-in only on webhook/policy-manager (IAM-WU-09/10). M3 DONE (P5): install namespace ships pod-security.kubernetes.io/enforce=audit=warn=restricted (templates/namespace.yaml). M4 DONE (P5, closed 2026-06-01): the gating restricted.pss conftest now covers ALL THREE chart workloads AND the bundled monitoring workloads (prometheus/grafana/alertmanager), the kube-policies-monitoring Namespace is PSA-restricted-labeled, and the helm-unittest suite asserts seccomp+runAsGroup on the dashboard too — restricted.pss passes 288 tests on the rendered chart + 136 on monitoring, stripping seccomp makes the gate DENY, helm-unittest 6/6 pass.",2026-11-01,"Completed (Closed P5 2026-06-01): seccomp+runAsGroup are values.yaml defaults on all 3 workloads incl dashboard; namespace PSA-restricted; gating restricted.pss + helm-unittest cover control-plane + dashboard + monitoring. Evidence: charts/kube-policies/values.yaml + test/policy/restricted-pss.rego + charts/kube-policies/tests/hardening_test.yaml.",Moderate,Engineering (TBD — assign)
POAM-025,"Vulnerability scanning does not gate the build: Trivy runs SARIF-only with no severity threshold/exit-code, no govulncheck/CodeQL/secret-scanning/SCA in CI, and no dependency-update automation, so CRITICAL/HIGH CVEs ship silently with no remediation SLA or POA&M feed.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,RA-5,High,"P11 Vulnerability Management (SDL-WU/VUL-WU): gate Trivy on CRITICAL/HIGH, add govulncheck/CodeQL/secret-scanning/SCA, enable Dependabot/Renovate, and define FedRAMP remediation SLAs with a POA&M feed.",M1 Trivy fail-on-severity; M2 govulncheck+CodeQL+secret-scan gating; M3 dependency-update automation; M4 SLA-bound vuln program feeding POA&M.,2026-12-31,Open,Moderate,ISSO (TBD — assign)
POAM-026,"No flaw-remediation program: no documented remediation SLA timelines (Critical/High 30d, Moderate 90d, Low 180d), no monthly authenticated scan cadence, no vulnerability/POA&M triage workflow, and no automated rebuild-on-base-CVE trigger.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SI-2,Moderate,"P11 Vulnerability Management (VUL-WU): document FedRAMP remediation SLAs, establish monthly authenticated scanning, and stand up a triage/aging/POA&M workflow with rebuild-on-base-CVE.",M1 Remediation SLA policy; M2 monthly authenticated scan cadence; M3 triage/aging workflow; M4 rebuild-on-base-CVE trigger.,2026-12-31,Open,Moderate,ISSO (TBD — assign)
POAM-027,"No DoS/resource-availability protection: no rate limiting/connection throttling/concurrency caps on any HTTP server, no ResourceQuota/LimitRange/HPA, and no request-body size limits, leaving the fail-closed planes open to resource-exhaustion DoS.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SC-5,Moderate,"P4/P8 Comms Protection & Resilience (NET-WU/RES-WU): add rate limiting, request-body caps, connection/concurrency limits, and ResourceQuota/LimitRange.","M1 DONE (P4, 2026-06-01): per-replica token-bucket rate limiting (50 rps/burst 100) + 3 MiB body cap (413), kube_policies_http_rate_limited_total metric (internal/middleware/ratelimit.go). M2 DONE: max-in-flight concurrency cap (100, 429) + SSE stream-connection cap (100, 429) + bounded MaxConcurrentReconciles (2). M3 SHIPPED BUT OFF: ResourceQuota + LimitRange templates ship OFF by default (resourceQuota.enabled/limitRange.enabled=false) since a mis-sized quota can block the chart's own pods; operator must enable/size. HPA deferred to P8.",2026-10-15,Open (app-layer limits on by default; ResourceQuota/LimitRange off by default; HPA in P8),Low,Engineering (TBD — assign)
POAM-028,"No system-wide, time-correlated audit trail: only the webhook emits audit events, each component has its own clock with no correlation ID, and there is no unified record across admission-webhook, policy-manager, and dashboard tying CRD changes to downstream admission decisions.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,AU-12,Moderate,"P7 Audit Accountability (AUD-WU): add correlation IDs and a unified, time-correlated audit trail across all three components with NTP-assured timestamps.",M1 Correlation IDs across components; M2 unified trail; M3 synchronized-time assurance (AU-8).,2026-11-30,Open,Moderate,Engineering (TBD — assign)
POAM-029,"No alerting on audit-processing failure: auditEvents/auditBufferSize metrics exist but no Prometheus rule fires on status=dropped/write_error or buffer saturation, and the referenced rule_files are not committed; a dropped audit pipeline is invisible.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,AU-5,Moderate,P9 Detection & Alerting (IRM-WU): ship PrometheusRule alerts on audit drop/write-error/buffer saturation packaged in the chart.,M1 Audit-failure alert rules authored; M2 packaged in Helm; M3 promtool-validated in CI.,2026-12-31,Open,Low,Engineering (TBD — assign)
POAM-030,"No detection/monitoring safety net: no SIEM/central log forwarding, no fail-open instrumentation, no TLS cert-expiry telemetry, no runtime anomaly detection (Falco/Tetragon), and missing security-critical alerts for fail-open, cert expiry, audit drops, and reconcile failures.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SI-4,High,"P9 Detection & Monitoring (IRM-WU): add fail-open and cert-expiry metrics, security-critical alerts, runtime anomaly detection, and SIEM forwarding.",M1 Fail-open + cert-expiry telemetry; M2 security-critical alert set; M3 runtime detection; M4 SIEM forwarding.,2026-12-31,Open,Moderate,Engineering (TBD — assign)
POAM-031,"No Incident Response Plan or runbooks: no IR plan (roles/phases/notification timelines), no security runbooks, no on-call/escalation roster, and Alertmanager points at a dead 127.0.0.1 receiver with no real paging integration.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,IR-8,High,"P9/P12 Incident Response (IRM-WU/P12-WU): author the IR plan and runbooks, define escalation/on-call roster, and wire real severity-routed paging.",M1 IR plan authored; M2 incident runbooks; M3 escalation roster + real paging integration.,2026-12-31,Open,Moderate,ISSO (TBD — assign)
POAM-032,"No continuous-monitoring strategy or SLO/SLI definitions: alert rules are not packaged in Helm, there is no ConMon document mapping metrics/alerts/scans to a cadence and POA&M feed, and no CI validation of alert expressions (promtool/amtool).",kube-policies FedRAMP/CIS gap analysis 2026-05-29,CA-7,Moderate,"P9 ConMon (IRM-WU): package alert rules/ServiceMonitor in the chart, author a ConMon strategy mapping signals to cadence and POA&M, and add promtool/amtool CI validation.",M1 Alert rules/ServiceMonitor in chart; M2 ConMon strategy doc; M3 promtool/amtool CI gate.,2026-12-31,Open,Low,ISSO (TBD — assign)
POAM-033,"Supply-chain governance gaps: no SECURITY.md/coordinated disclosure policy, no Dependabot/Renovate, GitHub Actions and base images pinned to mutable tags, and no SCRM plan/threat model tying artifacts to controls for the ATO package.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SR-3,Moderate,"P6 Supply-Chain Integrity (SUP-WU): author SECURITY.md and an SCRM plan, enable dependency-update automation, and pin all actions/base images by immutable digest.",M1 SECURITY.md + disclosure SLAs; M2 dependency-update automation; M3 actions/base images digest-pinned; M4 SCRM plan authored.,2026-11-15,Open,Moderate,ISSO (TBD — assign)
POAM-034,"No secure-SDLC quality gates: 49.2% unit coverage with no enforced threshold, no required-status-check/branch-protection/CODEOWNERS, no fuzz/DAST, no SAST (CodeQL absent; gosec via unmaintained @master action), and no threat model or SSDF crosswalk.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,SA-15,Moderate,"P11 Secure-SDLC (SDL-WU): enforce coverage thresholds, branch protection + CODEOWNERS, add fuzz/DAST/SAST, and author the threat model and SSDF practice-to-control crosswalk.",M1 Coverage gate + branch protection + CODEOWNERS; M2 SAST/fuzz/DAST wired; M3 threat model + SSDF crosswalk authored.,2026-12-31,Open,Moderate,Engineering (TBD — assign)
POAM-035,"No admission-time image signature/provenance verification: the webhook ships only privileged/hostPath/latest-tag rules and cannot enforce signed-image policy in clusters, including for its own images; consumers have no cosign verify documentation.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,CM-14,High,P6/P10 Supply Chain & Policy (SUP-WU/POL-WU): add an admission policy that verifies image signatures/provenance (cosign) and publish consumer cosign verify/verify-attestation documentation.,M1 Signature/provenance admission policy; M2 consumer verification docs; M3 enforce signed-image policy for own images.,2026-11-15,Open,Moderate,Engineering (TBD — assign)
POAM-036,"No dashboard session management: no session/idle timeout, no re-authentication, no HSTS or secure-cookie posture, and no managed-session protections on the dashboard BFF (depends on P3 authentication landing first).",kube-policies FedRAMP/CIS gap analysis 2026-05-29,AC-12,Low,"P3 Identity (IAM-WU): add session management with idle timeout, re-authentication, HSTS, and secure cookies to the dashboard once authentication is implemented.",M1 Session/idle timeout; M2 re-authentication; M3 HSTS + secure cookies.,2026-09-15,Open,Low,Engineering (TBD — assign)
POAM-037,"No customer-posture inventory enforcement: the policy library ships no required-labels/annotations rule (owner, data-classification, cost-center) for CM-8 inventory, no resource-quota-presence enforcement, and no deny-NodePort/LoadBalancer-without-approval.",kube-policies FedRAMP/CIS gap analysis 2026-05-29,CM-8,Moderate,"P10 Policy Library (POL-WU): add required-labels/annotations, resource-quota-presence, and NodePort/LoadBalancer-approval policies to support CM-8 inventory and SC-7 egress.",M1 Required-labels policy; M2 resource-quota-presence policy; M3 NodePort/LoadBalancer-approval policy.,2026-10-31,Open,Low,Engineering (TBD — assign)
POAM-038,No audit reduction/report generation: policy-manager compliance handlers return 501 Not Implemented; there is no on-demand audit search/report capability for assessors.,kube-policies FedRAMP/CIS gap analysis 2026-05-29,AU-7,Low,P7 Audit Reporting (AUD-WU): implement on-demand audit reduction/search/report generation in the policy-manager compliance handlers.,M1 Audit search API; M2 report generation; M3 assessor-facing report format.,2026-11-30,Open,Low,Engineering (TBD — assign)
POAM-039,"failure_mode is a validated-but-ignored configuration knob: config validation accepts failure_mode (fail-open/fail-closed), but the mutate path is hardcoded fail-open (admits on eval-error/patch-marshal) and the validate path is hardcoded fail-closed, so the documented knob does nothing — operators cannot tune fail behavior and the config gives a false sense of control.",internal independent review (P12-WU-04),CM-6,High,"Wire failure_mode to drive the mutate eval-error/patch-marshal branches (default preserving current behavior: validate fail-closed, mutate fail-open) OR remove the knob entirely and document the fixed invariant. Add tests asserting the knob's effect (or its documented removal).",M1 Decide wire-vs-remove; M2 implement (default-preserving) + unit tests proving the knob's effect; M3 reconcile config docs/SSP narrative with the implemented behavior.,2026-07-02,Open,High,Engineering (TBD — assign)
POAM-040,"Engine holds an RLock across the full OPA evaluation: internal/policy/engine.go evaluates policies while holding the read lock over the policy set, so a concurrent CRD write (write-lock acquisition) can stall admission for the duration of an evaluation, coupling control-plane CRD churn to data-plane admission latency (availability).",internal independent review (P12-WU-04),SC-5,Moderate,"Snapshot the policy slice under a brief lock then evaluate lock-free (release the RLock before calling OPA); writers swap the snapshot atomically. Add a concurrency test proving a CRD write does not block in-flight evaluations.",M1 Refactor to snapshot-then-eval-lock-free; M2 concurrency regression test; M3 verify admission p99 latency is decoupled from CRD write rate.,2026-08-31,Open,Moderate,Engineering (TBD — assign)
POAM-041,"Decision-publisher drops events under backpressure with no spool: the webhook->policy-manager DecisionPublisher discards decision-telemetry events when its buffer is full and has no disk-spool, so under load the management-plane decision feed silently loses events. This is AU-2 telemetry (the dashboard decision feed), NOT the durable, HMAC-sealed audit log (which is the AU-9 system of record), but the silent drop is still a monitoring gap.",internal independent review (P12-WU-04),AU-2,Moderate,"Confirm and document that the DecisionPublisher feed is telemetry-only (the durable audit log is independent and unaffected), and add/verify a Prometheus alert on the drop metric so backpressure is observable rather than silent. Spooling is out of scope if telemetry-only is confirmed.",M1 Confirm telemetry-only vs durable-record boundary in code + SSP; M2 alert on the publish-drop metric; M3 document the boundary in the audit-architecture narrative.,2026-08-31,Open,Moderate,Engineering (TBD — assign)
